signal,horizon_seconds,actual_rows,delayed_net_positive_rate,event_outcomes_not_executable_trades,mean_delayed_net_return_bps,median_delayed_net_return_bps,requested_rows
ofi_300s_mean,60,100,0.03,True,-13.468220309710878,-13.232752557114516,100
ofi_300s_mean,60,500,0.024,True,-12.967128129710785,-12.232519795644688,500
ofi_300s_mean,60,1000,0.044,True,-12.70595225949389,-12.27282732407953,1000
trade_imbalance,60,100,0.01,True,-11.628709763064727,-11.635859996630897,100
trade_imbalance,60,500,0.018,True,-11.971361595656074,-12.132670643158189,500
trade_imbalance,60,1000,0.017,True,-12.074746800552916,-12.230164996960598,1000
trade_imbalance_10s_mean,60,100,0.0,True,-11.97378366347044,-11.918322352081976,100
trade_imbalance_10s_mean,60,500,0.008,True,-12.064676325387444,-11.837434206064149,500
trade_imbalance_10s_mean,60,1000,0.012,True,-12.223784055607014,-12.0,1000
trade_imbalance_60s_mean,60,100,0.02,True,-12.128533581990482,-12.065486817457478,100
trade_imbalance_60s_mean,60,500,0.024,True,-11.971437564153762,-12.016321936578674,500
trade_imbalance_60s_mean,60,1000,0.025,True,-12.188502751588981,-12.066688687573622,1000
trade_imbalance_300s_mean,60,100,0.03,True,-11.526239376358694,-12.557951875900375,100
trade_imbalance_300s_mean,60,500,0.014,True,-12.161525372810377,-12.392117242144757,500
trade_imbalance_300s_mean,60,1000,0.012,True,-12.126715336751852,-12.358979719002022,1000
signed_pressure_to_opposing_depth_10s,60,100,0.14,True,-11.900173709796604,-12.200260129220656,100
signed_pressure_to_opposing_depth_10s,60,500,0.094,True,-13.128299185531299,-12.78959524727628,500
signed_pressure_to_opposing_depth_10s,60,1000,0.095,True,-13.22225343426026,-12.686363968147571,1000
signed_pressure_to_opposing_depth_60s,60,100,0.17,True,-11.537165403810224,-11.883768772636227,100
signed_pressure_to_opposing_depth_60s,60,500,0.108,True,-13.044683850608076,-12.5111657592482,500
