signal,horizon_seconds,weighted_roc_auc,weighted_auc_minus_chance,spearman_information_coefficient,earliest_peak_horizon_seconds,earliest_peak_weighted_auc,half_life_status,half_life_seconds
signed_pressure_to_opposing_depth_60s,30,0.4952997408757723,-0.004700259124227724,-0.02400223981059702,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_60s,60,0.4814040910901363,-0.01859590890986368,-0.0318614167478427,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_60s,120,0.4785253846894522,-0.021474615310547784,-0.036412492839076264,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_60s,300,0.4675724572447242,-0.03242754275527582,-0.05159243854540541,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_60s,900,0.4884988406728715,-0.011501159327128474,-0.001592638183713364,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,5,0.5101555943201697,0.010155594320169659,0.00778029467466649,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,15,0.4918565635102167,-0.008143436489783273,-0.015534489237139954,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,30,0.48300137590889625,-0.016998624091103753,-0.03539788562971526,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,60,0.4701444634594483,-0.029855536540551675,-0.05175855503522653,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,120,0.4573897620034037,-0.0426102379965963,-0.07749206379549534,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,300,0.45659924821244136,-0.043400751787558645,-0.06894438428874752,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_300s,900,0.4893036387964452,-0.010696361203554827,0.006111315673694253,5,0.5101555943201697,no_measurable_half_life_on_consumed_role,
