round,symbol,candidate,seed,role,side,actual_mean_net_bps,actual_sha256,executable_ratio,executable_rows,expected_payoff_mse_bps2,expected_payoff_mse_skill,expected_payoff_spearman,predicted_mean_net_bps,prediction_sha256,rejected_rows,role_rows,training_mean_baseline_mse_bps2,magnitude_floor_count,predicted_profitable_probability_mean,probability_brier_score,probability_brier_skill,probability_log_loss,probability_log_loss_skill,profitable_event_rate,training_prevalence_brier_score,training_prevalence_log_loss
52,ETHUSDT,executable_direct_mean_lightgbm,5202,policy_calibration,long,-12.604460071236254,d53af9940d3dc3d04a18ae808b1406842eb1f45334a8eda9f237e907d4fa569d,0.861814161866527,14812,107.88348756019487,-0.005259766426834789,0.1078618029985884,-11.851805319113684,7dc9127b1237efd2e098971a5a33c786f6887fae25cc128695c3e2137548c048,2375,17187,107.31901461018721,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5202,policy_calibration,short,-11.955005986453049,8882c79c7f366aa8a68767fa237a0a86d90403ef8223274f6825699ea68e53ee,0.86321056612556,14836,109.05204127748601,-0.0010892755570888202,0.06731835234282327,-12.430844311852503,83984f121f7a73cd344681bbd92ff48dceb982df2941dcb6bcb182b7d8230eb2,2351,17187,108.93338280624418,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5202,evaluation,long,-12.645950411906107,8bb7c4ecbb2508e9c6ea3fcb5b30643348d477904839ac0cf10defb94d6b6647,0.8635640568014278,44515,139.46993309015113,-0.008981821329176132,0.06911940884634891,-11.366192033755496,bdb02e7ff0c0e33ec5d65e705d436cf08023d1b47696f81c2c6eab6431962ee2,7033,51548,138.2283903850926,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5202,evaluation,short,-11.752488316735768,3d1eeb324faa6a36a8c70410934cf17cbe4847a9de20ff882e969b02852fa4ac,0.8631178707224335,44492,144.29970300899322,-0.00043035441212091463,0.05330049100996139,-12.467258912357197,0041935641dc6d9179980c9aee0db2ec8b3182eb3722ea6fb21dc7521f6b8a21,7056,51548,144.23762970865423,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5203,policy_calibration,long,-12.604460071236254,d53af9940d3dc3d04a18ae808b1406842eb1f45334a8eda9f237e907d4fa569d,0.861814161866527,14812,107.53432963151602,-0.002006308221435882,0.045589266661082144,-12.01969109287989,d5746c3753b5a97a4281251b571ac0789fb4392a79f5854376ad6b7f8593346b,2375,17187,107.31901461018721,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5203,policy_calibration,short,-11.955005986453049,8882c79c7f366aa8a68767fa237a0a86d90403ef8223274f6825699ea68e53ee,0.86321056612556,14836,109.2569464833508,-0.0029702894445327033,0.07846033781233622,-12.497461852080898,a25b7600120e4a0eafd5266ddb59cee54296518f5806db757307c77215d504f2,2351,17187,108.93338280624418,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5203,evaluation,long,-12.645950411906107,8bb7c4ecbb2508e9c6ea3fcb5b30643348d477904839ac0cf10defb94d6b6647,0.8635640568014278,44515,138.19429243359002,0.0002466783517307558,0.08105134836445486,-11.776151527814354,bf9aa06e1ef280aa6e02727791c5342415808b464a01768f9229be8d0862f932,7033,51548,138.2283903850926,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5203,evaluation,short,-11.752488316735768,3d1eeb324faa6a36a8c70410934cf17cbe4847a9de20ff882e969b02852fa4ac,0.8631178707224335,44492,144.52294275918882,-0.0019780763945642654,0.05070935359915847,-12.545474652889299,d5c2bf063470598a5399e187c19aaf6ef2c37fd20f1cf28d9eaa039daea347db,7056,51548,144.23762970865423,0,,,,,,,,
52,ETHUSDT,executable_hurdle_lightgbm,5201,policy_calibration,long,-12.604460071236254,d53af9940d3dc3d04a18ae808b1406842eb1f45334a8eda9f237e907d4fa569d,0.861814161866527,14812,108.0236181352461,-0.006565504981742576,0.09710604305469589,-11.68526733573495,4867da9b3bc9740a783ebe4dc32c2f732466030a8b64827f238fd6625b88453a,2375,17187,107.31901461018721,0,0.08411112418758296,0.06843113509861057,0.06031605990712641,0.2516818418525721,0.09819195131069913,0.0785174183094788,0.07282356564681437,0.2790858234392226
52,ETHUSDT,executable_hurdle_lightgbm,5201,policy_calibration,short,-11.955005986453049,8882c79c7f366aa8a68767fa237a0a86d90403ef8223274f6825699ea68e53ee,0.86321056612556,14836,110.38305120480345,-0.013307843392119212,0.061878993073951505,-12.444665768541785,2cbe47651f6da298ac2ffe962dff8c2a6e7a5acba9f611d278b2d496fe304f2e,2351,17187,108.93338280624418,0,0.07740924747683839,0.07791269814257608,0.06610468293405825,0.2787598685094182,0.10892490259762655,0.09045564842275546,0.08342765695341281,0.31283543813764725
52,ETHUSDT,executable_hurdle_lightgbm,5201,evaluation,long,-12.645950411906107,8bb7c4ecbb2508e9c6ea3fcb5b30643348d477904839ac0cf10defb94d6b6647,0.8635640568014278,44515,139.08443917614582,-0.006193002672376657,0.056103285105779575,-11.53828418251796,f1eff9f02bea020cfa527d3d23a3d01517eaee83521b3fcde9b43a786c09bfd3,7033,51548,138.2283903850926,0,0.08839185027978842,0.07619205394371957,0.06878089957006461,0.27666839554713807,0.10055952352916031,0.08866674154779287,0.08181968551605352,0.30760056144316494
52,ETHUSDT,executable_hurdle_lightgbm,5201,evaluation,short,-11.752488316735768,3d1eeb324faa6a36a8c70410934cf17cbe4847a9de20ff882e969b02852fa4ac,0.8631178707224335,44492,145.94495388700216,-0.011836884603529274,0.059485532202993754,-13.016601323302014,77cdc70c370e53f019109838d8fc8ec3f28144aa6586cb6000381c3dd57aeac8,7056,51548,144.23762970865423,0,0.06984988733326201,0.08374818485537218,0.0642391218555507,0.30081586393978116,0.09420790191944095,0.09729839072192754,0.08949742056051668,0.33210254823069485
52,ETHUSDT,executable_hurdle_lightgbm,5202,policy_calibration,long,-12.604460071236254,d53af9940d3dc3d04a18ae808b1406842eb1f45334a8eda9f237e907d4fa569d,0.861814161866527,14812,107.15429088195451,0.0015348978820857173,0.10519850421218972,-11.899962326146017,963b596d77ac7a460f912f540aa3aedead6b0a6f34642364942b59b32399ef67,2375,17187,107.31901461018721,0,0.07763986547223897,0.0678287654467147,0.06858769075279636,0.25008516027505595,0.10391306447166149,0.0785174183094788,0.07282356564681437,0.2790858234392226
