record_type,symbol,horizon_seconds,feature_layer,head,metric,model_value,baseline_value,relative_improvement,q_value,passed,evaluation_report_sha256
layer_vs_uninformed_control,SOLUSDT,30,spot_perpetual,continuous_return_bps,mean_squared_error,114.2897948551802,114.28417437945367,-4.917982526486675e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,spot_perpetual,continuous_return_bps,mean_absolute_error,6.710881377791787,6.710072826891621,-0.00012049808117220451,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,perpetual_only,binary_direction,log_loss,0.6933127221963752,0.6932353623547632,-0.00011159246312705693,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,perpetual_only,binary_direction,brier_score,0.25008252767394046,0.25004408747895884,-0.0001537336690068691,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,perpetual_only,continuous_return_bps,mean_squared_error,231.23600474512943,231.21953969975945,-7.120957593542698e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,perpetual_only,continuous_return_bps,mean_absolute_error,9.563943327261228,9.563230139841506,-7.457599673887927e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,spot_perpetual,binary_direction,log_loss,0.6931639592418269,0.6932353623547632,0.00010299981335885216,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,spot_perpetual,binary_direction,brier_score,0.2500083985584732,0.25004408747895884,0.00014273051142898576,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,spot_perpetual,continuous_return_bps,mean_squared_error,231.24165632410197,231.21953969975945,-9.565205592587667e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,60,spot_perpetual,continuous_return_bps,mean_absolute_error,9.563598779614958,9.563230139841506,-3.854762125987676e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,perpetual_only,binary_direction,log_loss,0.6932232900028282,0.6931542151574166,-9.96529255700261e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,perpetual_only,binary_direction,brier_score,0.2500374904789287,0.2500035157805125,-0.00013589688253037846,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,perpetual_only,continuous_return_bps,mean_squared_error,1187.5146570947754,1185.8834472379128,-0.0013755229155629767,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,perpetual_only,continuous_return_bps,mean_absolute_error,21.56321122535433,21.551026208042444,-0.0005654031132558135,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,spot_perpetual,binary_direction,log_loss,0.6932918524607117,0.6931542151574166,-0.0001985666396962209,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,spot_perpetual,binary_direction,brier_score,0.2500713269481789,0.2500035157805125,-0.00027124085617237265,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,spot_perpetual,continuous_return_bps,mean_squared_error,1187.5634449868307,1185.8834472379128,-0.0014166634611780804,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,300,spot_perpetual,continuous_return_bps,mean_absolute_error,21.56248085626529,21.551026208042444,-0.0005315128900251764,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,30,spot_perpetual,binary_direction,log_loss,0.6932086593892419,0.6929195936671543,-0.00041717065692689615,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,30,spot_perpetual,binary_direction,brier_score,0.25002565611704036,0.24988547239475858,-0.0005609918853558711,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,30,spot_perpetual,continuous_return_bps,mean_squared_error,30.281142549265915,30.27664174832805,-0.00014865588380897892,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,30,spot_perpetual,continuous_return_bps,mean_absolute_error,3.1760479124505685,3.1751012328982435,-0.0002981572815745585,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,60,spot_perpetual,binary_direction,log_loss,0.6931844439630999,0.6931860656461672,2.3394628769347112e-06,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,60,spot_perpetual,binary_direction,brier_score,0.25001765812289883,0.2500185628446902,3.6186184780795405e-06,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,60,spot_perpetual,continuous_return_bps,mean_squared_error,61.44819169345297,61.45421732406034,9.805072572308454e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,60,spot_perpetual,continuous_return_bps,mean_absolute_error,4.570371472164619,4.570133004243606,-5.2179645710972155e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,300,spot_perpetual,binary_direction,log_loss,0.6923770746377267,0.6925312549593288,0.00022263301547471214,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,300,spot_perpetual,binary_direction,brier_score,0.24961429610327704,0.2496910366323918,0.0003073419460697462,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,300,spot_perpetual,continuous_return_bps,mean_squared_error,307.460050266176,307.46035328242897,9.855457776925063e-07,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,BTCUSDT,300,spot_perpetual,continuous_return_bps,mean_absolute_error,10.260651026960865,10.261097447981774,4.350616716896853e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,30,spot_perpetual,binary_direction,log_loss,0.6926588358553616,0.6927456253614557,0.0001252833694168804,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,30,spot_perpetual,binary_direction,brier_score,0.24975612846451725,0.2497996083337251,0.00017405899672096224,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,30,spot_perpetual,continuous_return_bps,mean_squared_error,52.49149991056978,52.494821035164975,6.326575707289923e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,30,spot_perpetual,continuous_return_bps,mean_absolute_error,4.297908978749898,4.297460908779215,-0.0001042638851624396,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,60,spot_perpetual,binary_direction,log_loss,0.692799215019763,0.6927500194748619,-7.101485892186435e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,60,spot_perpetual,binary_direction,brier_score,0.24982600381001333,0.24980131371550915,-9.883892977558522e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,60,spot_perpetual,continuous_return_bps,mean_squared_error,105.0438603334497,105.0363925564552,-7.109704372690476e-05,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,60,spot_perpetual,continuous_return_bps,mean_absolute_error,6.142989387642215,6.142178526728159,-0.00013201519795093852,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,300,spot_perpetual,binary_direction,log_loss,0.6931336717814899,0.6930578748878403,-0.00010936589337770175,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,300,spot_perpetual,binary_direction,brier_score,0.24999207238600477,0.24995370573692033,-0.0001534950200931144,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,300,spot_perpetual,continuous_return_bps,mean_squared_error,528.6029885515748,528.5798509183285,-4.377320324654928e-05,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,ETHUSDT,300,spot_perpetual,continuous_return_bps,mean_absolute_error,13.811351296698119,13.81001949366492,-9.643744773933176e-05,0.9814018598140186,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
spot_perpetual_vs_perpetual_only,SOLUSDT,30,spot_perpetual,binary_direction,log_loss,0.6932427221350453,0.6932084186521906,-4.94850926960905e-05,0.9695030496950304,False,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
