base_net_payoff_bps,candidate_id,decision_index,decision_time_ms,entry_time_ms,event_code,event_name,exit_time_ms,holding_minutes,mean_seed_expected_payoff_bps,side,side_name,stop_bps,stress_net_payoff_bps,symbol,symbol_index,take_profit_bps,trade_id,worst_seed_expected_payoff_bps,decision_time_utc,entry_time_utc,exit_time_utc
-92.0,direct_barrier_mean_tcn,325620,1739196300000,1739196360000,0,stop_loss,1739196960000,10,2.265167236328125,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1739196300000:1,0.3957366943359375,2025-02-10T14:05:00+00:00,2025-02-10T14:06:00+00:00,2025-02-10T14:16:00+00:00
10.121790885925293,direct_barrier_mean_tcn,326017,1739315400000,1739315460000,1,timeout,1739319060000,60,3.8549041748046875,1,long,80.0,6.121790885925293,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1739315400000:1,0.55267333984375,2025-02-11T23:10:00+00:00,2025-02-11T23:11:00+00:00,2025-02-12T00:11:00+00:00
-92.0,direct_barrier_mean_tcn,329992,1740507900000,1740507960000,0,stop_loss,1740510480000,42,2.6466878255208335,-1,short,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1740507900000:-1,1.7242431640625,2025-02-25T18:25:00+00:00,2025-02-25T18:26:00+00:00,2025-02-25T19:08:00+00:00
-92.0,direct_barrier_mean_tcn,330037,1740521400000,1740521460000,0,stop_loss,1740521640000,3,2.30377197265625,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740521400000:1,1.1339569091796875,2025-02-25T22:10:00+00:00,2025-02-25T22:11:00+00:00,2025-02-25T22:14:00+00:00
-92.0,direct_barrier_mean_tcn,330051,1740525600000,1740525660000,0,stop_loss,1740526800000,19,2.125676472981771,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740525600000:1,1.565093994140625,2025-02-25T23:20:00+00:00,2025-02-25T23:21:00+00:00,2025-02-25T23:40:00+00:00
-90.94380187988281,direct_barrier_mean_tcn,330058,1740527700000,1740527760000,0,stop_loss,1740529920000,36,0.9366861979166666,1,long,80.0,-94.94380187988281,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740527700000:1,0.3884124755859375,2025-02-25T23:55:00+00:00,2025-02-25T23:56:00+00:00,2025-02-26T00:32:00+00:00
-92.0,direct_barrier_mean_tcn,330086,1740536100000,1740536160000,0,stop_loss,1740537420000,21,3.5425313313802085,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740536100000:1,1.6967010498046875,2025-02-26T02:15:00+00:00,2025-02-26T02:16:00+00:00,2025-02-26T02:37:00+00:00
148.0,direct_barrier_mean_tcn,330093,1740538200000,1740538260000,2,take_profit,1740540000000,29,2.9538726806640625,1,long,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740538200000:1,2.1935272216796875,2025-02-26T02:50:00+00:00,2025-02-26T02:51:00+00:00,2025-02-26T03:20:00+00:00
-92.0,direct_barrier_mean_tcn,330099,1740540000000,1740540060000,0,stop_loss,1740540900000,14,7.8564707438151045,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740540000000:1,5.3719329833984375,2025-02-26T03:20:00+00:00,2025-02-26T03:21:00+00:00,2025-02-26T03:35:00+00:00
-7.130773544311523,direct_barrier_mean_tcn,330102,1740540900000,1740540960000,1,timeout,1740544560000,60,3.9493560791015625,1,long,80.0,-11.130773544311523,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740540900000:1,2.2026824951171875,2025-02-26T03:35:00+00:00,2025-02-26T03:36:00+00:00,2025-02-26T04:36:00+00:00
-92.0,direct_barrier_mean_tcn,330115,1740544800000,1740544860000,0,stop_loss,1740545580000,12,2.770512898763021,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740544800000:1,2.0493316650390625,2025-02-26T04:40:00+00:00,2025-02-26T04:41:00+00:00,2025-02-26T04:53:00+00:00
59.66746139526367,direct_barrier_mean_tcn,330891,1740777600000,1740777660000,1,timeout,1740781260000,60,4.0446217854817705,1,long,80.0,55.66746139526367,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740777600000:1,1.189422607421875,2025-02-28T21:20:00+00:00,2025-02-28T21:21:00+00:00,2025-02-28T22:21:00+00:00
-92.0,direct_barrier_mean_tcn,330948,1740794700000,1740794760000,0,stop_loss,1740797220000,41,4.0579986572265625,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1740794700000:1,2.5859832763671875,2025-03-01T02:05:00+00:00,2025-03-01T02:06:00+00:00,2025-03-01T02:47:00+00:00
-92.0,direct_barrier_mean_tcn,331415,1740934800000,1740934860000,0,stop_loss,1740934920000,1,4.2831166585286455,1,long,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1740934800000:1,0.56396484375,2025-03-02T17:00:00+00:00,2025-03-02T17:01:00+00:00,2025-03-02T17:02:00+00:00
-92.0,direct_barrier_mean_tcn,331762,1741038900000,1741038960000,0,stop_loss,1741039380000,7,5.050710042317708,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741038900000:-1,0.1654815673828125,2025-03-03T21:55:00+00:00,2025-03-03T21:56:00+00:00,2025-03-03T22:03:00+00:00
-92.0,direct_barrier_mean_tcn,331762,1741038900000,1741038960000,0,stop_loss,1741040400000,24,4.1382598876953125,-1,short,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1741038900000:-1,1.3048553466796875,2025-03-03T21:55:00+00:00,2025-03-03T21:56:00+00:00,2025-03-03T22:20:00+00:00
-92.0,direct_barrier_mean_tcn,331764,1741039500000,1741039560000,0,stop_loss,1741041300000,29,2.3472086588541665,-1,short,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1741039500000:-1,0.882415771484375,2025-03-03T22:05:00+00:00,2025-03-03T22:06:00+00:00,2025-03-03T22:35:00+00:00
-92.0,direct_barrier_mean_tcn,331764,1741039500000,1741039560000,0,stop_loss,1741041720000,36,5.263519287109375,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741039500000:-1,4.838104248046875,2025-03-03T22:05:00+00:00,2025-03-03T22:06:00+00:00,2025-03-03T22:42:00+00:00
-92.0,direct_barrier_mean_tcn,331789,1741047000000,1741047060000,0,stop_loss,1741047540000,8,2.2978719075520835,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741047000000:-1,0.1879119873046875,2025-03-04T00:10:00+00:00,2025-03-04T00:11:00+00:00,2025-03-04T00:19:00+00:00
148.0,direct_barrier_mean_tcn,331964,1741099500000,1741099560000,2,take_profit,1741099680000,2,1.844329833984375,1,long,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741099500000:1,1.147918701171875,2025-03-04T14:45:00+00:00,2025-03-04T14:46:00+00:00,2025-03-04T14:48:00+00:00
-92.0,direct_barrier_mean_tcn,331964,1741099500000,1741099560000,0,stop_loss,1741100040000,8,2.8234100341796875,1,long,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1741099500000:1,2.151031494140625,2025-03-04T14:45:00+00:00,2025-03-04T14:46:00+00:00,2025-03-04T14:54:00+00:00
116.57142639160156,direct_barrier_mean_tcn,332386,1741226100000,1741226160000,1,timeout,1741229760000,60,6.8296559651692705,1,long,80.0,112.57142639160156,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741226100000:1,3.366546630859375,2025-03-06T01:55:00+00:00,2025-03-06T01:56:00+00:00,2025-03-06T02:56:00+00:00
148.693603515625,direct_barrier_mean_tcn,333417,1741535400000,1741535460000,2,take_profit,1741539060000,60,0.8418528238932291,-1,short,80.0,144.693603515625,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741535400000:-1,0.368499755859375,2025-03-09T15:50:00+00:00,2025-03-09T15:51:00+00:00,2025-03-09T16:51:00+00:00
-92.0,direct_barrier_mean_tcn,333813,1741654200000,1741654260000,0,stop_loss,1741654560000,5,2.474543253580729,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1741654200000:-1,0.810699462890625,2025-03-11T00:50:00+00:00,2025-03-11T00:51:00+00:00,2025-03-11T00:56:00+00:00
10.880023002624512,direct_barrier_mean_tcn,338301,1743000600000,1743000660000,1,timeout,1743004260000,60,2.963994344075521,-1,short,80.0,6.880023002624512,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1743000600000:-1,1.6819000244140625,2025-03-26T14:50:00+00:00,2025-03-26T14:51:00+00:00,2025-03-26T15:51:00+00:00
3.109370708465576,direct_barrier_mean_tcn,338306,1743002100000,1743002160000,1,timeout,1743005760000,60,3.015630225340525,-1,short,62.1644172668457,-0.8906292915344238,BTCUSDT,0,124.3288345336914,direct_barrier_mean_tcn:BTCUSDT:1743002100000:-1,0.5751792788505554,2025-03-26T15:15:00+00:00,2025-03-26T15:16:00+00:00,2025-03-26T16:16:00+00:00
-92.0,direct_barrier_mean_tcn,340383,1743625200000,1743625260000,0,stop_loss,1743625380000,2,4.1338348388671875,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1743625200000:1,0.355377197265625,2025-04-02T20:20:00+00:00,2025-04-02T20:21:00+00:00,2025-04-02T20:23:00+00:00
-92.0,direct_barrier_mean_tcn,340383,1743625200000,1743625260000,0,stop_loss,1743625620000,6,7.1543121337890625,1,long,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1743625200000:1,4.3039703369140625,2025-04-02T20:20:00+00:00,2025-04-02T20:21:00+00:00,2025-04-02T20:27:00+00:00
-92.0,direct_barrier_mean_tcn,340383,1743625200000,1743625260000,0,stop_loss,1743625620000,6,3.2289632161458335,1,long,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1743625200000:1,0.5867767333984375,2025-04-02T20:20:00+00:00,2025-04-02T20:21:00+00:00,2025-04-02T20:27:00+00:00
-92.0,direct_barrier_mean_tcn,340384,1743625500000,1743625560000,0,stop_loss,1743625620000,1,6.353658040364583,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1743625500000:1,1.578521728515625,2025-04-02T20:25:00+00:00,2025-04-02T20:26:00+00:00,2025-04-02T20:27:00+00:00
-92.0,direct_barrier_mean_tcn,341521,1743966600000,1743966660000,0,stop_loss,1743967020000,6,3.4276580810546875,-1,short,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1743966600000:-1,1.1932373046875,2025-04-06T19:10:00+00:00,2025-04-06T19:11:00+00:00,2025-04-06T19:17:00+00:00
-92.0,direct_barrier_mean_tcn,341586,1743986100000,1743986160000,0,stop_loss,1743988320000,36,5.599619547526042,-1,short,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1743986100000:-1,0.92010498046875,2025-04-07T00:35:00+00:00,2025-04-07T00:36:00+00:00,2025-04-07T01:12:00+00:00
-92.0,direct_barrier_mean_tcn,341801,1744050600000,1744050660000,0,stop_loss,1744051260000,10,3.8159942626953125,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1744050600000:-1,3.071136474609375,2025-04-07T18:30:00+00:00,2025-04-07T18:31:00+00:00,2025-04-07T18:41:00+00:00
-92.0,direct_barrier_mean_tcn,341849,1744065000000,1744065060000,0,stop_loss,1744067040000,33,1.6053517659505208,1,long,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1744065000000:1,0.4485321044921875,2025-04-07T22:30:00+00:00,2025-04-07T22:31:00+00:00,2025-04-07T23:04:00+00:00
-72.567626953125,direct_barrier_mean_tcn,341847,1744064400000,1744064460000,1,timeout,1744068060000,60,3.2970682779947915,1,long,80.0,-76.567626953125,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1744064400000:1,1.0416412353515625,2025-04-07T22:20:00+00:00,2025-04-07T22:21:00+00:00,2025-04-07T23:21:00+00:00
148.0,direct_barrier_mean_tcn,341888,1744076700000,1744076760000,2,take_profit,1744078200000,24,6.25885009765625,1,long,80.0,144.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1744076700000:1,3.2173919677734375,2025-04-08T01:45:00+00:00,2025-04-08T01:46:00+00:00,2025-04-08T02:10:00+00:00
