signal,horizon_seconds,date,rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy
trade_imbalance_300s_mean,60,2023-06-23,5837,0.4963884015856729,0.49062850962742977,-0.015238449279108779,0.4920181399531851
trade_imbalance_300s_mean,60,2023-06-24,4786,0.4822173786814696,0.48318374979704043,-0.03647602196820947,0.48492806170522607
trade_imbalance_300s_mean,60,2023-06-25,5277,0.5028030774155153,0.5130098212430894,0.030506801809082842,0.5047424513051514
signed_pressure_to_opposing_depth_10s,60,2023-06-21,6482,0.48884439374475386,0.48484476620558353,-0.02991902835602409,0.49248549941354797
signed_pressure_to_opposing_depth_10s,60,2023-06-22,6196,0.4821735185425316,0.48719628285806016,-0.02684254735232298,0.481763735956303
signed_pressure_to_opposing_depth_10s,60,2023-06-23,5837,0.5006512218252741,0.49442134337179233,-0.01837793745286491,0.49003912792206017
signed_pressure_to_opposing_depth_10s,60,2023-06-24,4786,0.48419618373512374,0.4847957036958238,-0.02313365069183289,0.48263839539511383
signed_pressure_to_opposing_depth_10s,60,2023-06-25,5277,0.5058409059114249,0.5077097232346631,0.018723614123759075,0.5049056468573144
signed_pressure_to_opposing_depth_60s,60,2023-06-21,6482,0.4777636681023016,0.47219422910482634,-0.057042486206011364,0.4731453692511358
signed_pressure_to_opposing_depth_60s,60,2023-06-22,6196,0.4827012165806304,0.4885236548002952,-0.02427069016753476,0.48707262142077207
signed_pressure_to_opposing_depth_60s,60,2023-06-23,5837,0.4909829331649476,0.48520999121587877,-0.02754278492781254,0.48365213347756436
signed_pressure_to_opposing_depth_60s,60,2023-06-24,4786,0.47734382982077506,0.484876100180844,-0.022056776720923273,0.4671540172498695
signed_pressure_to_opposing_depth_60s,60,2023-06-25,5277,0.4760977994098004,0.48316243395349784,-0.01619976862360632,0.4759656906589734
signed_pressure_to_opposing_depth_300s,60,2023-06-21,6482,0.4587921691533682,0.45983298335182643,-0.07992612746878072,0.46685492881667484
