baseline_brier,baseline_log_loss,brier,brier_skill,candidate_id,evaluation_prevalence,expected_calibration_error_10_bin,horizon_minutes,log_loss,log_loss_skill,month,roc_auc,rows,scope,side,symbol,training_prevalence
0.22036316844035803,0.6333150236217614,0.2136472778223223,0.0304764660336303,hurdle_action_value_tcn,0.32661290322580644,0.009490299242953292,15,0.6166517707205572,0.02631115997519129,2025-03,0.6035637281044273,26784,month,short,,0.283719634955187
0.21081340010536834,0.6123202880391017,0.20442254353869443,0.030315229314074155,hurdle_action_value_tcn,0.3052469135802469,0.007663969519747401,15,0.5958599885025101,0.02688184575641639,2025-04,0.6157799937473021,25920,month,short,,0.283719634955187
0.2017002614513323,0.5922368769214407,0.19799125224693143,0.018388717881239858,hurdle_action_value_tcn,0.2852822580645161,0.00907800576610849,15,0.5823141790765913,0.016754609906139972,2025-05,0.6048695399053472,26784,month,short,,0.283719634955187
0.19286533238660455,0.5725077504923558,0.18725952882042604,0.029065895341634063,hurdle_action_value_tcn,0.2688409161250387,0.007785236061832466,15,0.5555497097245843,0.029620630905324186,2025-06,0.6363727463676362,25848,month,short,,0.28371963495518704
0.21298639024415253,0.6172906313664014,0.20457402070826894,0.03949721635377845,hurdle_action_value_tcn,0.30662393162393164,0.010414014521792934,15,0.5956842135590489,0.035002018027595394,,0.6182338211814273,156312,pooled,long,,0.2871125486709385
0.17880940982846813,0.543106602044895,0.17002717809306406,0.04911504234496866,hurdle_action_value_tcn,0.23314908644249963,0.013148210739871893,15,0.5171269030641678,0.04783535844143483,,0.6515808358901739,52104,symbol,long,BTCUSDT,0.228810896158445
0.22271959109158587,0.6387414899744563,0.21461755461963786,0.03637774491340695,hurdle_action_value_tcn,0.3251957623215108,0.0071220585177993,15,0.6194563847323761,0.030192347835196198,,0.5913022619314269,52104,symbol,long,ETHUSDT,0.2679584265873624
0.23083446332078825,0.6543116766753596,0.2290773294121048,0.007612095193262336,hurdle_action_value_tcn,0.3615269461077844,0.013456146413195104,15,0.6504693528806028,0.005872314268148382,,0.5558517421958278,52104,symbol,long,SOLUSDT,0.364568323267008
0.2138204189106724,0.6188087354818523,0.2069837427226362,0.03197391634936586,hurdle_action_value_tcn,0.31339605734767023,0.010827810426071305,15,0.601590978771343,0.027824036286595466,2025-01,0.6194325570855591,26784,month,long,,0.28711254867093844
0.2124072022525039,0.6155123550226105,0.2068390842382633,0.026214355987898008,hurdle_action_value_tcn,0.31047453703703703,0.021933555506887182,15,0.6000438007649066,0.025131184015202535,2025-02,0.6099946403967704,24192,month,long,,0.28711254867093844
