round,treatment,view,objective,seed,fold,loss_skill,final_iterations,backend,device,reload_max_abs_prediction_error_bps,model_sha256,file_sha256
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2023-08,0.21922000826169563,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2023-09,0.1805519010668869,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2023-10,0.10540375507994415,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2023-11,0.1323949168458668,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2023-12,0.08870079401527864,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2024-01,0.08652321469949131,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2024-02,0.05986491116417303,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2024-03,0.10683275727527941,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2024-04,0.07865225523549901,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2024-05,0.05877171974056605,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2024-06,0.09139327542478026,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2023-07,0.19223581591993555,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2023-08,0.2173069872334763,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2023-09,0.17850537160532465,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2023-10,0.10540834184502745,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2023-11,0.13403490836102394,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2023-12,0.08883328335921337,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2024-01,0.0848638266355719,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2024-02,0.06089283776352106,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2024-03,0.10704483301872048,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2024-04,0.07890625994419487,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
56,baseline_72,raw_stress_payoff,lower_tail_q20,5603,2024-05,0.0588609562492981,285,opencl,opencl:auto,0.0,3f45889657c497036881bbb91c0a9f31e2902d6c1602fa4391413d57527135ac,cc6dd03dbad04fac6c3cd00a4d070fa470fc75f4fd3df8f1a650191368071301
