signal,family,horizon_seconds,direction_rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy,daily_auc_minimum,daily_auc_median,daily_auc_standard_deviation,days_above_chance,routed_rows,delayed_l1_eligible_rows,mean_signal_aligned_gross_midquote_return_bps,mean_cross_spread_gross_return_bps,mean_spread_crossing_cost_bps,mean_fee_and_slippage_cost_bps,mean_historical_latency_drag_bps,mean_delayed_net_return_bps,delayed_net_positive_rate,nonoverlapping_rows,nonoverlapping_weighted_roc_auc,nonoverlapping_mean_delayed_net_return_bps,placebo_observed_rank_descending,placebo_exceedance_fraction,placebo_mean_auc,placebo_auc_standard_deviation,placebo_auc_95_low,placebo_auc_95_high,nonfinite_signal_rows
l1_imbalance,displayed_l1_depth_imbalance,60,28578,0.5248768362510697,0.5228374908944922,0.040643900914453364,0.5161042846644656,0.5069441539532047,0.5244062540622876,0.011662621218248799,5,28794,27818,0.12027762761437774,0.08448828692121459,0.035789340693163176,12.000102692466898,0.07899168573890626,-11.915614405545684,0.043640808109856925,6030,0.5449844325556511,-11.738409085853046,1,0.004975124378109453,0.4997445199783449,0.0036760107005127424,0.4924096551222717,0.5068400107477028,0
microprice_offset_bps,microprice,60,28578,0.5241139317816135,0.5220577006916658,0.039329852528364774,0.5155101539269533,0.5072713291935856,0.5231289632094586,0.011475235700552783,5,28794,27825,0.13773919215311992,0.1019715551440337,0.03576763700908626,12.000107194081673,0.07577493178804333,-11.898135638937637,0.043881401617250675,6030,0.5435290632021564,-11.67155949441793,1,0.004975124378109453,0.5003026952679697,0.004138567784987071,0.4927971963858089,0.508084502646326,0
normalized_ofi,order_flow_imbalance,60,28578,0.5107808267806782,0.5104649336993571,0.01882582690812713,0.5060195136681181,0.49472928404786043,0.5079397407092029,0.01123719145659273,4,28794,27869,0.04734854977761494,0.011789418651851511,0.035559131125763435,12.000094583117056,0.04884961537753746,-11.988305164465203,0.043309770712978576,6030,0.5215060975626405,-11.958876529233947,2,0.009950248756218905,0.5001003499785098,0.003970615645833185,0.4917498790950707,0.5068872217930886,0
ofi_10s_mean,order_flow_imbalance,60,28578,0.5041265111293298,0.5020382811623999,-0.002562709931007152,0.5012767093324803,0.4817576900424507,0.5041303638158658,0.014720340318462161,3,28794,27902,-0.021444367575232645,-0.057520605757707934,0.03607623818247531,12.000083895696637,0.025673603586778577,-12.057604501454344,0.041215683463551,6030,0.5221181133384649,-11.783882179638992,25,0.12437810945273632,0.4999662721595189,0.003617230127181257,0.4929450584392783,0.5069923307501937,0
ofi_60s_mean,order_flow_imbalance,60,28578,0.5001116299990851,0.49482217599878303,-0.018501774307453676,0.500943812121866,0.48898037058703464,0.4946455481415205,0.009608612828009028,2,28794,27958,-0.12245341165689337,-0.15857646930734892,0.0361230576504555,12.000088254247336,-0.0113984043351766,-12.158664723554683,0.04099005651334144,6030,0.5144979632910114,-12.025865972404757,98,0.48756218905472637,0.5000833058645254,0.0041170724706433804,0.49119789621535787,0.5082578016701043,0
ofi_300s_mean,order_flow_imbalance,60,28578,0.5058918647817031,0.5031918603032791,-0.004545964617273865,0.5081793385665394,0.4957805971237944,0.5059936933495053,0.005997838055113907,4,28794,27992,0.02522635928188998,-0.010889699050388137,0.03611605833227813,12.00008380193943,-0.028778214990171344,-12.01097350098982,0.042905115747356386,6030,0.513371304613628,-11.977715515167722,6,0.029850746268656716,0.4992459108661313,0.003808080036226072,0.49161324472813417,0.5058804120334736,0
trade_imbalance,aggressor_trade_flow,60,28578,0.499981126374259,0.4983864701954871,-0.002498287074667363,0.5023770693793451,0.4910826115592758,0.4949963103623955,0.007934924351061048,2,28696,27868,-0.045673293474734165,-0.08180245859760574,0.03612916512287157,12.00009217446097,0.007071538589798467,-12.081894633058576,0.04144538538825893,6030,0.5127655207423832,-12.031866409597562,100,0.4975124378109453,0.499683087786937,0.0037596592133404055,0.4921332522055638,0.5060321792607638,0
trade_imbalance_10s_mean,aggressor_trade_flow,60,28578,0.49626517275923604,0.492338651185147,-0.02101194524314288,0.4980475740162045,0.479595306049041,0.49326676464540486,0.011866655610602697,1,28794,27983,-0.10164744065533253,-0.1378087890930527,0.03616134843772016,12.000088362936836,-0.019128444901080566,-12.13789715202989,0.040989171997284066,6030,0.5065145882731913,-12.006673322866746,169,0.8407960199004975,0.5002588375263304,0.003823514011763228,0.49267680551450066,0.5069124984543512,0
trade_imbalance_60s_mean,aggressor_trade_flow,60,28578,0.4890208589361393,0.48724178681232344,-0.027378664666090916,0.4933976054670224,0.4843083418464828,0.4882669165214504,0.004075260647726274,0,28794,27975,-0.05580276176567002,-0.09137391117491321,0.035571149409243184,12.000083372061876,-0.024922434130365614,-12.091457283236789,0.04314566577301162,6030,0.4981574940999981,-11.921812303786973,201,1.0,0.5000073447915602,0.003917584211102668,0.49256433748318706,0.5070984765340559,0
trade_imbalance_300s_mean,aggressor_trade_flow,60,28578,0.4963076661558136,0.4974408499741635,-0.006762060826534478,0.49595944084199156,0.4822173786814696,0.4963884015856729,0.009288703985148885,2,28794,27969,-0.03122412116452364,-0.06736367130429716,0.03613955013977351,12.000081198487441,-0.0248049472122085,-12.06744486979174,0.04222532089098645,6030,0.49634642818795677,-11.993170892313096,165,0.8208955223880597,0.49976088825794746,0.0038109770477271327,0.49150271060232475,0.5065282472490169,0
