round,treatment,interval,controller,symbol,stage,relation,eligible_rows,total_rows,eligible_fraction
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,all_view_positive,exact_rule_stage,11,1487,0.007397444519166106
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,all_view_positive_preferred,exact_rule_stage,11,1487,0.007397444519166106
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,all_view_seed_supported,exact_rule_stage,11,1487,0.007397444519166106
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,controller_model_eligible,controller_stage,18,1487,0.0121049092131809
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,liquidity_eligible,market_gate,1079,1487,0.7256220578345662
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,volatility_eligible,market_gate,1480,1487,0.9952925353059852
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,model_plus_liquidity,controller_stage,18,1487,0.0121049092131809
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,model_plus_volatility,controller_stage,17,1487,0.011432414256893073
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,market_eligible,controller_stage,17,1487,0.011432414256893073
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,market_eligible_long,controller_side,16,1487,0.010759919300605245
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,market_eligible_short,controller_side,1,1487,0.0006724949562878278
55,baseline_71,development_holdout,all_view_consensus,ALL,all_rows,denominator,2157,2157,1.0
55,baseline_71,development_holdout,all_view_consensus,ALL,any_view_vote,independent_model_stage,63,2157,0.02920723226703755
55,baseline_71,development_holdout,all_view_consensus,ALL,two_view_side_agreement,independent_model_stage,21,2157,0.009735744089012517
55,baseline_71,development_holdout,all_view_consensus,ALL,all_view_positive,exact_rule_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,all_view_positive_preferred,exact_rule_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,all_view_seed_supported,exact_rule_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,controller_model_eligible,controller_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,liquidity_eligible,market_gate,1402,2157,0.6499768196569309
55,baseline_71,development_holdout,all_view_consensus,ALL,volatility_eligible,market_gate,2146,2157,0.9949003245248029
55,baseline_71,development_holdout,all_view_consensus,ALL,model_plus_liquidity,controller_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,model_plus_volatility,controller_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,market_eligible,controller_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,all_view_consensus,ALL,market_eligible_long,controller_side,6,2157,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,ALL,market_eligible_short,controller_side,1,2157,0.0004636068613815484
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,all_rows,denominator,719,719,1.0
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,any_view_vote,independent_model_stage,15,719,0.02086230876216968
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,two_view_side_agreement,independent_model_stage,7,719,0.009735744089012517
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,all_view_positive,exact_rule_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,all_view_positive_preferred,exact_rule_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,all_view_seed_supported,exact_rule_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,controller_model_eligible,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,liquidity_eligible,market_gate,468,719,0.650904033379694
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,volatility_eligible,market_gate,714,719,0.9930458970792768
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,model_plus_liquidity,controller_stage,2,719,0.0027816411682892906
