date,week,n_trades,longshot_fraction,longshot_winrate,longshot_gap,longshot_gap_ma4w,longshot_gap_ma13w,longshot_gap_ma52w,longshot_gap_z52w
2025-01-06,2025-W02,189823,0.3717989916922606,0.0282673996826116,-0.0217326003173884,-0.024151674021649753,-0.023722349597083133,0.02283658060073291,-0.61277917608195
2025-01-13,2025-W03,186192,0.393540001718656,0.0284821355460327,-0.021517864453967302,-0.02246213687107023,-0.02468086907688218,0.021815276319714385,-0.5937675001451073
2025-01-20,2025-W04,219452,0.4079160818766746,0.0347304452735762,-0.0152695547264238,-0.019096884734830177,-0.024498771135158953,0.020350648553650263,-0.4883184618814669
2025-01-27,2025-W05,121579,0.414643976344599,0.029358089343807,-0.020641910656193002,-0.019790482538493127,-0.024321926014644446,0.01988066049575366,-0.5541028825714758
2025-02-03,2025-W06,125002,0.3510183837058607,0.0247732348785268,-0.0252267651214732,-0.02066402373951433,-0.025085179882624233,0.017465729429001285,-0.5889179235433801
2025-02-10,2025-W07,157205,0.3504659521007601,0.0404936927125873,-0.009506307287412703,-0.017661134447875676,-0.023646962585120647,0.016093916654450133,-0.354025111035142
2025-02-17,2025-W08,195857,0.4426545898282931,0.0317542706206673,-0.0182457293793327,-0.0184051781111029,-0.023674402586085143,0.014637985578555963,-0.45529709971782667
2025-02-24,2025-W09,173799,0.4606125466774837,0.0211482249481599,-0.0288517750518401,-0.020457644210014676,-0.02308130474493321,0.013070998001648107,-0.5800999684153146
2025-03-03,2025-W10,174524,0.3709060071967179,0.0246091577581412,-0.025390842241858804,-0.020498663490111077,-0.02291820525468336,0.011980025787022742,-0.5160649371608743
2025-03-10,2025-W11,190504,0.5362512073237308,0.0180308933221088,-0.0319691066778912,-0.026114363337730703,-0.02255588859099937,0.010585404868171715,-0.5865363873866272
2025-03-17,2025-W12,203003,0.5046920488859771,0.0211411950729107,-0.028858804927089303,-0.028767632224669853,-0.022600718734907363,0.010179398597905372,-0.5368607477333561
2025-03-24,2025-W13,197084,0.4518174991374236,0.0128585225613727,-0.0371414774386273,-0.030840057821366652,-0.023247712132387615,0.008197023474364325,-0.6247496092374298
2025-03-31,2025-W14,204599,0.4712584127977165,0.0104543710264574,-0.03954562897354261,-0.0343787545042876,-0.024915259019464644,0.007647600027874998,-0.6480238704915687
2025-04-07,2025-W15,183479,0.4645381760310444,0.0104419649666209,-0.0395580350333791,-0.03627598659315958,-0.026286446305310088,0.005182755865961195,-0.6196904393692874
2025-04-14,2025-W16,180555,0.472686992883055,0.010533592669838,-0.039466407330162004,-0.03892788719392775,-0.027667103449632753,0.0010837055225673927,-0.5928811855795444
2025-04-21,2025-W17,152746,0.4933222473910937,0.014345812376415,-0.03565418762358501,-0.03855606474016718,-0.02923515213402977,-0.0010579958877762747,-0.5106231167732942
2025-04-28,2025-W18,117934,0.5000593552325877,0.0334554210329975,-0.016544578967002503,-0.032805802238532154,-0.02891997277332281,-0.0059091279008779704,-0.18049733427688025
2025-05-05,2025-W19,267248,0.467000688499072,0.0340050478746845,-0.0159949521253155,-0.026915031511516255,-0.02820983331207991,-0.010443341839093087,-0.11206384477294139
